[0]	[System Idle Process]
[4]	System
[188]	Secure System
[232]	Registry
[736]	smss.exe
[1124]	csrss.exe
[1224]	wininit.exe
[1232]	csrss.exe
[1296]	services.exe
[1316]	LsaIso.exe
[1328]	lsass.exe
[1392]	winlogon.exe
[1496]	fontdrvhost.exe
[1508]	fontdrvhost.exe
[1560]	svchost.exe
[1636]	WUDFHost.exe
[1684]	svchost.exe
[1752]	WUDFHost.exe
[1832]	svchost.exe
[1904]	dwm.exe
[2040]	svchost.exe
[904]	svchost.exe
[1236]	svchost.exe
[2056]	svchost.exe
[2184]	svchost.exe
[2192]	svchost.exe
[2200]	svchost.exe
[2208]	svchost.exe
[2300]	svchost.exe
[2352]	svchost.exe
[2360]	svchost.exe
[2444]	svchost.exe
[2456]	svchost.exe
[2464]	svchost.exe
[2652]	svchost.exe
[2660]	IntelCpHDCPSvc.exe
[2668]	svchost.exe
[2676]	svchost.exe
[2716]	svchost.exe
[2816]	svchost.exe
[2996]	svchost.exe
[2172]	IntelCpHeciSvc.exe
[3296]	svchost.exe
[3564]	NVDisplay.Container.exe
[3600]	WUDFHost.exe
[3668]	svchost.exe
[3704]	svchost.exe
[3712]	svchost.exe
[3720]	svchost.exe
[3820]	Memory Compression
[3872]	svchost.exe
[3912]	igfxCUIService.exe
[3944]	svchost.exe
[3952]	svchost.exe
[4072]	svchost.exe
[2320]	svchost.exe
[3608]	svchost.exe
[3908]	svchost.exe
[4048]	svchost.exe
[4028]	audiodg.exe
[4128]	svchost.exe
[4260]	spoolsv.exe
[4352]	svchost.exe
[4424]	svchost.exe
[4464]	svchost.exe
[4572]	svchost.exe
[4648]	svchost.exe
[4708]	NgcIso.exe
[4720]	NVDisplay.Container.exe
[4784]	OfficeClickToRun.exe
[4812]	svchost.exe
[4820]	svchost.exe
[4836]	OneApp.IGCC.WinService.exe
[4844]	svchost.exe
[4896]	jhi_service.exe
[4924]	svchost.exe
[4940]	KillerAnalyticsService.exe
[4980]	esif_uf.exe
[5112]	MpDefenderCoreService.exe
[4204]	NahimicService.exe
[5140]	RstMwService.exe
[5176]	RtkAudUService64.exe
[5232]	TbtP2pShortcutService.exe
[5240]	ThunderboltService.exe
[5252]	SessionService.exe
[5260]	svchost.exe
[5280]	WMIRegistrationService.exe
[5288]	MsMpEng.exe
[5352]	svchost.exe
[5464]	svchost.exe
[5688]	svchost.exe
[5700]	KillerNetworkService.exe
[5812]	WmiPrvSE.exe
[6504]	svchost.exe
[7428]	KNDBWMService.exe
[7712]	svchost.exe
[7956]	svchost.exe
[8020]	xTendSoftAPService.exe
[6572]	wlanext.exe
[6664]	conhost.exe
[7392]	KNDBWM.exe
[7588]	Intel_PIE_Service.exe
[8172]	AggregatorHost.exe
[8252]	KAPSService.exe
[8496]	xTendSoftAP.exe
[8504]	conhost.exe
[8988]	conhost.exe
[9020]	KAPS.exe
[8936]	svchost.exe
[7144]	dptf_helper.exe
[2016]	sihost.exe
[2584]	svchost.exe
[8424]	svchost.exe
[8044]	PresentationFontCache.exe
[6920]	svchost.exe
[7204]	svchost.exe
[7572]	taskhostw.exe
[8376]	MicrosoftEdgeUpdate.exe
[8516]	svchost.exe
[9744]	explorer.exe
[9864]	svchost.exe
[4804]	svchost.exe
[9792]	CrossDeviceResume.exe
[9944]	igfxEM.exe
[10056]	CrossDeviceService.exe
[10700]	svchost.exe
[11196]	SearchHost.exe
[11204]	StartMenuExperienceHost.exe
[11048]	RuntimeBroker.exe
[11108]	svchost.exe
[11476]	RtkAudUService64.exe
[11464]	msedgewebview2.exe
[11060]	msedgewebview2.exe
[12384]	RuntimeBroker.exe
